member,member_label,pumping_objective_reeval_cfs,expected_shortfall_cfs,probability_below_threshold,risk_aversion,risk_adjusted_score
gen=38_member=6471_pso,gen=38_member=6471_pso,35.06049322067706,0.6512074891052358,0.9970309832560496,0.0,35.06049322067706
gen=48_member=8165_pso,gen=48_member=8165_pso,35.08459194378328,0.654098949060456,0.9970309832560496,0.0,35.08459194378328
gen=38_member=6398_pso,gen=38_member=6398_pso,35.09741973001883,0.6614174721002551,0.9970309832560496,0.0,35.09741973001883
gen=47_member=8011_pso,gen=47_member=8011_pso,35.12122980345115,0.6709240768376542,0.9970309832560496,0.0,35.12122980345115
gen=41_member=6973_pso,gen=41_member=6973_pso,35.15947657236159,0.6906791128549288,0.9970309832560496,0.0,35.15947657236159
gen=50_member=8464_pso,gen=50_member=8464_pso,35.16929619734085,0.694209535941686,0.9970309832560496,0.0,35.16929619734085
gen=44_member=7543_pso,gen=44_member=7543_pso,35.18705597340057,0.7050730786151116,0.9970309832560496,0.0,35.18705597340057
gen=42_member=7080_pso,gen=42_member=7080_pso,35.21819334968434,0.7196860917239476,0.9970309832560496,0.0,35.21819334968434
gen=37_member=6224_pso,gen=37_member=6224_pso,35.24434680969291,0.7328860661340794,0.9970309832560496,0.0,35.24434680969291
gen=46_member=7783_pso,gen=46_member=7783_pso,35.250884894283324,0.7416360139936605,0.9970309832560496,0.0,35.250884894283324
gen=29_member=4851_pso,gen=29_member=4851_pso,35.264277472776136,0.7464374625027315,0.9970309832560496,0.0,35.264277472776136
gen=45_member=7589_pso,gen=45_member=7589_pso,35.264548182297666,0.7483020574680946,0.9970309832560496,0.0,35.264548182297666
gen=50_member=8579_pso,gen=50_member=8579_pso,35.267503555717184,0.748525756294832,0.9970309832560496,0.0,35.267503555717184
gen=38_member=6478_pso,gen=38_member=6478_pso,35.27857906393331,0.7603005347094872,0.9970309832560496,0.0,35.27857906393331
gen=34_member=5714_pso,gen=34_member=5714_pso,35.289422752427136,0.7815089080183939,1.0,0.0,35.289422752427136
gen=42_member=7200_pso,gen=42_member=7200_pso,35.33222140569574,0.7816768756545648,1.0,0.0,35.33222140569574
gen=50_member=8572_pso,gen=50_member=8572_pso,35.38077037906462,0.7960798667354897,1.0,0.0,35.38077037906462
gen=28_member=4720_pso,gen=28_member=4720_pso,35.38488870745046,0.8044179788091749,1.0,0.0,35.38488870745046
gen=32_member=5467_pso,gen=32_member=5467_pso,35.42529510560696,0.8157141746743537,1.0,0.0,35.42529510560696
gen=50_member=8550_pso,gen=50_member=8550_pso,35.43550778076299,0.8173744529289099,1.0,0.0,35.43550778076299
gen=31_member=5214_pso,gen=31_member=5214_pso,35.44276706150495,0.8290013143786518,1.0,0.0,35.44276706150495
gen=44_member=7456_pso,gen=44_member=7456_pso,35.454985598383615,0.8375901733253697,1.0,0.0,35.454985598383615
gen=46_member=7796_pso,gen=46_member=7796_pso,35.46763029885118,0.8446628218418558,1.0,0.0,35.46763029885118
gen=49_member=8363_pso,gen=49_member=8363_pso,35.477807888172215,0.8462867436080006,1.0,0.0,35.477807888172215
gen=50_member=8487_pso,gen=50_member=8487_pso,35.50262187067714,0.8586209054201034,1.0,0.0,35.50262187067714
gen=47_member=7977_pso,gen=47_member=7977_pso,35.50698668092144,0.8618146045146372,1.0,0.0,35.50698668092144
gen=43_member=7295_pso,gen=43_member=7295_pso,35.51686845465705,0.8691747920505072,1.0,0.0,35.51686845465705
gen=40_member=6879_pso,gen=40_member=6879_pso,35.52547804840835,0.8823722764471317,1.0,0.0,35.52547804840835
gen=38_member=6409_pso,gen=38_member=6409_pso,35.558655547749574,0.8917762454360564,1.0,0.0,35.558655547749574
gen=34_member=5724_pso,gen=34_member=5724_pso,35.55966917902097,0.8955089664286547,1.0,0.0,35.55966917902097
gen=38_member=6465_pso,gen=38_member=6465_pso,35.58483752237572,0.9034950918233471,1.0,0.0,35.58483752237572
gen=44_member=7474_pso,gen=44_member=7474_pso,35.60659604089044,0.906505689004323,1.0,0.0,35.60659604089044
gen=45_member=7645_pso,gen=45_member=7645_pso,35.61911037390231,0.9232197812015499,1.0,0.0,35.61911037390231
gen=33_member=5655_pso,gen=33_member=5655_pso,35.630370058555734,0.9236267690730988,1.0,0.0,35.630370058555734
gen=37_member=6347_pso,gen=37_member=6347_pso,35.66303769617801,0.9356464105740584,1.0,0.0,35.66303769617801
gen=41_member=6946_pso,gen=41_member=6946_pso,35.683385394119824,0.9507430548329895,1.0,0.0,35.683385394119824
gen=43_member=7341_pso,gen=43_member=7341_pso,35.69752068422161,0.9541833086782868,1.0,0.0,35.69752068422161
gen=34_member=5786_pso,gen=34_member=5786_pso,35.69845644451818,0.9619743037266733,1.0,0.0,35.69845644451818
gen=48_member=8123_pso,gen=48_member=8123_pso,35.70569359544761,0.9747625363520679,1.0,0.0,35.70569359544761
gen=43_member=7239_pso,gen=43_member=7239_pso,35.72083483075705,0.9752867774591174,1.0,0.0,35.72083483075705
gen=41_member=6986_pso,gen=41_member=6986_pso,35.767651554973604,0.9931164695711563,1.0,0.0,35.767651554973604
gen=42_member=7088_pso,gen=42_member=7088_pso,35.79047148072272,1.009620094226784,1.0,0.0,35.79047148072272
