member,pumping_objective_reeval_cfs,streamflow_p05_cfs,streamflow_p95_cfs,worst_case_streamflow_cfs,best_case_streamflow_cfs,expected_depletion_cfs,full_envelope_height_cfs,central_90pct_envelope_height_cfs,prob_below_5_cfs,expected_shortfall_below_5_cfs,max_shortfall_below_5_cfs,streamflow_meets_5_cfs_prob,prob_below_6_cfs,expected_shortfall_below_6_cfs,max_shortfall_below_6_cfs,streamflow_meets_6_cfs_prob,prob_below_7_cfs,expected_shortfall_below_7_cfs,max_shortfall_below_7_cfs,streamflow_meets_7_cfs_prob,baseline_streamflow_cfs,baseline_depletion_cfs,member_label
gen=41_member=6902_pso,29.628353465378915,6.5575283999685565,7.11861574072283,6.288353976840716,7.341244175512965,1.7361189494214886,1.052890198672249,0.5610873407542734,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7552812642385535,0.15604853492442297,0.7116460231592843,0.24471873576144654,6.870249411680776,1.7297505883192237,gen=41_member=6902_pso
gen=43_member=7394_pso,29.69937939750987,6.5452558124027345,7.108494033884585,6.275304642547688,7.332213922095142,1.747276104960743,1.0569092795474537,0.5632382214818508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8536015955873992,0.16543512084249481,0.7246953574523118,0.14639840441260077,6.85907675375209,1.7409232462479096,gen=43_member=7394_pso
gen=44_member=7479_pso,29.72699292855369,6.509378793646464,7.080233018427769,6.23612166098328,7.307389130000454,1.779082992653749,1.0712674690171733,0.5708542247813053,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.866907805478413,0.19343354987602318,0.7638783390167196,0.13309219452158705,6.827295500554288,1.7727044994457113,gen=44_member=7479_pso
gen=37_member=6202_pso,29.76557254860932,6.493639692711759,7.06578214167221,6.219757458404921,7.29339589187636,1.794102582886609,1.073638433471439,0.5721424489604514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.866907805478413,0.20653719770964454,0.7802425415950793,0.13309219452158705,6.812301524147651,1.7876984758523486,gen=37_member=6202_pso
gen=41_member=6892_pso,29.76585730134148,6.487790407761607,7.060788533897896,6.214148335188094,7.289307460407094,1.7995764692051963,1.0751591252189998,0.5729981261362891,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.866907805478413,0.2113594319585404,0.785851664811906,0.13309219452158705,6.806778411567837,1.7932215884321627,gen=41_member=6892_pso
gen=42_member=7112_pso,29.954952265185444,6.4759502243738565,7.0507746378517675,6.201504953346948,7.279977972680621,1.8104743102885172,1.0784730193336731,0.574824413477911,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.866907805478413,0.22093647304442937,0.798495046653052,0.13309219452158705,6.795861739526821,1.8041382604731795,gen=42_member=7112_pso
gen=49_member=8327_pso,30.10695679161178,6.469741578569857,7.050368460766868,6.191881596549968,7.28123321536739,1.8132911881755134,1.089351618817422,0.5806268821970111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.866907805478413,0.22372660764613841,0.8081184034500319,0.13309219452158705,6.793262069335095,1.8067379306649047,gen=49_member=8327_pso
gen=46_member=7815_pso,30.209600453547942,6.45736966018613,7.036126655718405,6.182282505927629,7.267695976248556,1.8271502210436106,1.0854134703209262,0.5787569955322756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.866907805478413,0.2357000768892641,0.8177174940723706,0.13309219452158705,6.779068312966639,1.8209316870333607,gen=46_member=7815_pso
gen=46_member=7833_pso,30.273822445456965,6.438370682468935,7.021390452036412,6.160902339851251,7.254268956315804,1.843726475815183,1.0933666164645528,0.5830197695674775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8888460367581275,0.250399616510664,0.8390976601487488,0.11115396324187254,6.762605183780384,1.837394816219615,gen=46_member=7833_pso
gen=48_member=8130_pso,30.29664546331896,6.407611197829031,6.994083019481255,6.128312441510516,7.228750835227999,1.872641396291013,1.100438393717483,0.586471821652224,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9484803321943077,0.27677604617487156,0.8716875584894836,0.05151966780569228,6.733698320330934,1.8663016796690663,gen=48_member=8130_pso
gen=49_member=8310_pso,30.43676948862573,6.387314876610634,6.982740364793881,6.103510132741874,7.220358066425171,1.8879402582088796,1.1168479336832968,0.5954254881832473,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9484803321943077,0.2915484322978337,0.8964898672581256,0.05151966780569228,6.718577599868747,1.8814224001312525,gen=49_member=8310_pso
gen=38_member=6402_pso,30.51186014513365,6.3762740358606536,6.971516278874097,6.092902112182644,7.209372221766494,1.899163546158889,1.11647010958385,0.5952422430134439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9704185634740223,0.30225702660823156,0.9070978878173559,0.029581436525977667,6.707297073498245,1.8927029265017543,gen=38_member=6402_pso
gen=43_member=7373_pso,30.566917442941545,6.358500312974031,6.957467955349198,6.073288731807192,7.1968672216041725,1.9149063778306459,1.12357848979698,0.5989676423751673,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9704185634740223,0.31760955824924303,0.9267112681928076,0.029581436525977667,6.691593787689148,1.908406212310852,gen=43_member=7373_pso
gen=42_member=7156_pso,30.610510708305725,6.347595774796572,6.948076448322816,6.060974496240435,7.18782777146488,1.9248389570091775,1.1268532752244447,0.6004806735262438,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9704185634740223,0.3272695361221604,0.9390255037595647,0.029581436525977667,6.681773255026086,1.9182267449739128,gen=42_member=7156_pso
gen=41_member=6917_pso,30.7026693264571,6.330595797713204,6.933065257929675,6.0441571330958,7.174133400998272,1.9409704130107326,1.1299762679024719,0.6024694602164713,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9704185634740223,0.3429787699013188,0.9558428669041996,0.029581436525977667,6.665519702936601,1.9344802970633983,gen=41_member=6917_pso
gen=47_member=7988_pso,30.769795007202468,6.318520635298564,6.9244102754707155,6.030175583228027,7.166790743256004,1.9511617736028706,1.1366151600279775,0.6058896401721512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9704185634740223,0.3529359336466163,0.9698244167719734,0.029581436525977667,6.655377554420699,1.9446224455793009,gen=47_member=7988_pso
