member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,baseline_T_streamflow_cfs,baseline_T_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_signed_streamflow_error_cfs,max_absolute_streamflow_error_cfs,max_streamflow_shortfall_below_baseline_cfs,probability_streamflow_lower_than_baseline,probability_streamflow_below_threshold
gen=44_member=5567_pso,50.0,95.7796865465025,93.72999863771516,7.160450329023228,1.4395496709767714,7.162399008273508,1.4376009917264918,0.001948679250279639,-0.001948679250279639,0.08404890990464026,0.0840489099046403,7.0065581950099345,7.142376803948348,7.288950285768894,1.2712936150176484,1.42109623645726,1.5593887913006996,0.06751513781945204,0.03278322928458618,-0.001948679250279699,0.19284857118116694,0.1744568909710429,0.41801639616164876,
gen=49_member=6144_pso,50.0,93.87032135886894,93.14157028132627,7.161524586390402,1.4384754136095979,7.163473432564118,1.4365265674358823,0.0019488461737156015,-0.0019488461737156015,0.08295267728516438,0.08295267728516428,7.0097221623250086,7.1436973324438835,7.2884039752757435,1.2722978141510952,1.420265563921787,1.5566958065040228,0.0666292388889282,0.032340196357606404,-0.001948846173715402,0.19049527214763362,0.17207525839985838,0.41801639616164876,
gen=46_member=5849_pso,50.0,100.75129470860493,96.55375941776099,7.048678665676215,1.551321334323784,7.050857419224159,1.5491425807758405,0.0021787535479438347,-0.0021787535479433906,0.0906780031946479,0.09067800319464782,6.882962045491606,7.029194760242978,7.187489669803822,1.369442856199179,1.531418292367066,1.680431350046805,0.07283098296620812,0.035326114709132134,-0.0021787535479438486,0.20854182582137604,0.18780618991441145,0.41801639616164876,
gen=31_member=3852_pso,50.0,113.20384734630632,112.4311769372547,5.229913903375595,3.3700860966244046,5.235203854204249,3.3647961457957516,0.005289950828654355,-0.005289950828653023,0.17189621821818704,0.1718962182181871,4.920143662589277,5.193090559108864,5.495558043180244,3.020983678249657,3.332253801534101,3.612126276634274,0.13802203952655862,0.06636604434895242,-0.005289950828653795,0.4009733045686339,0.35046086373256813,0.41801639616164876,
gen=37_member=4697_pso,50.0,95.6479327163654,94.70530117801378,7.129147524851472,1.470852475148528,7.131199659299293,1.4688003407007082,0.0020521344478208192,-0.002052134447819709,0.08695780529280284,0.08695780529280285,6.970074167719139,7.11044500008497,7.262173475317275,1.2966560899553485,1.451753220444916,1.594750209297051,0.06985451490428904,0.03390119022823481,-0.002052134447819435,0.19966593292209733,0.18030760974118643,0.41801639616164876,
gen=42_member=5264_pso,50.0,115.23581890516928,114.57582236251024,4.357382539951839,4.2426174600481605,4.363992701377788,4.236007298622212,0.006610161425949279,-0.006610161425948391,0.19986193614406908,0.19986193614406914,3.998758932044771,4.31464090133746,4.667160001464599,3.8351883909127524,4.1985260210699415,4.523149819377039,0.16045746039516318,0.07692364948460724,-0.006610161425948703,0.4682808141361381,0.40546349174163954,0.41801639616164876,
gen=43_member=5399_pso,50.0,112.87509962484884,112.655441579843,5.355092859895867,3.2449071401041327,5.360106718121783,3.2398932818782162,0.005013858225916046,-0.00501385822591649,0.17155214126689838,0.17155214126689844,5.045087096696403,5.31827963497379,5.61965147597088,2.8974197328150684,3.20719481412796,3.48704166923264,0.13776359633823698,0.0663748690561605,-0.00501385822591602,0.39898567721712297,0.3508099061131462,0.41801639616164876,
gen=35_member=4383_pso,50.0,98.91353384100007,97.35903839517434,7.0094373258254175,1.5905626741745822,7.011696045458027,1.5883039545419728,0.002258719632609818,-0.002258719632609374,0.0932323224525562,0.09323232245255621,6.8391266781942335,6.989406227240606,7.152200418345631,1.4034927423192922,1.5700975777481703,1.7232663215340032,0.07488229970291566,0.03631179003515324,-0.002258719632609191,0.2145020182483739,0.192997809456795,0.41801639616164876,
gen=47_member=5964_pso,50.0,101.01781352558181,99.7331389643857,6.858617841642401,1.7413821583575984,6.861188898024321,1.7388111019756793,0.0025710563819201226,-0.0025710563819190124,0.10165888163622964,0.1016588816362298,6.67336976442625,6.836780339391071,7.014531808032593,1.5369593666734387,1.7190646187807395,1.8858169826165838,0.08164629831163289,0.03953762096485676,-0.0025710563819193585,0.23447746194545616,0.2098551888521909,0.41801639616164876,
gen=45_member=5721_pso,50.0,102.66137190388338,101.16634606078696,6.800318432458673,1.7996815675413265,6.803280805725269,1.7967191942747318,0.0029623732665955416,-0.0029623732665946534,0.10706399142272652,0.10706399142272649,6.6060484341663726,6.777354202600344,6.965045459139495,1.5835564621435287,1.7761425216471505,1.9512344189815118,0.08597910950932566,0.04150836812136536,-0.002962373266594932,0.247995210639953,0.2200023850104058,0.41801639616164876,
gen=47_member=5893_pso,50.0,99.51097389730381,95.09080212042277,7.126740323182053,1.4732596768179467,7.128795684170932,1.4712043158290689,0.002055360988878263,-0.002055360988877819,0.08757796375713582,0.0875779637571359,6.9664948160435145,7.107901436980432,7.260690764437441,1.2978705371065586,1.454023694651749,1.598066080533026,0.07035449810462675,0.03414956855787464,-0.002055360988877474,0.20102076229454902,0.18163955644705077,0.41801639616164876,
gen=35_member=4446_pso,50.0,108.73697829937431,105.4367433639537,6.486594740790137,2.113405259209862,6.490084582329688,2.1099154176703117,0.0034898415395510085,-0.0034898415395505644,0.12184865840664592,0.12184865840664591,6.266110764775305,6.460464695099246,6.674366694392804,1.8668000824297162,2.0866324876921105,2.285571238270715,0.09783967420856184,0.04717491633450542,-0.0034898415395510076,0.28312865938672616,0.24955697012124123,0.41801639616164876,
gen=45_member=5683_pso,50.0,99.55477716486982,96.66013154313829,7.065920012928887,1.5340799870711133,7.068040008484837,1.531959991515163,0.002119995555950105,-0.002119995555950327,0.09043804622566604,0.09043804622566601,6.900439235306801,7.046477178290316,7.204242638853246,1.3529372675924638,1.5142235636961026,1.6629761578783493,0.07264666127158867,0.03526333285781926,-0.0021199955559501344,0.2076340887358885,0.187561233158827,0.41801639616164876,
gen=49_member=6242_pso,50.0,110.93962256124044,109.70805418139967,5.984838701056684,2.615161298943316,5.98918688569969,2.61081311430031,0.0043481846430060145,-0.0043481846430060145,0.14823103758646733,0.14823103758646727,5.717033897404271,5.953035070496264,6.213472131206809,2.3149304091721135,2.582556853988556,2.8243760954446517,0.11904112592036722,0.057346470638680605,-0.004348184643006013,0.34468884830379043,0.3030229953549535,0.41801639616164876,
gen=45_member=5670_pso,50.0,98.45889126003648,97.16152504482936,7.029389200339656,1.5706107996603436,7.031661997789286,1.5683380022107152,0.0022727974496294934,-0.002272797449628383,0.09333502599878793,0.09333502599878801,6.858908142419075,7.009330035463969,7.172324295854097,1.3833660961732424,1.550109288600247,1.7034408118511044,0.07497152188041473,0.036349362215393116,-0.002272797449628476,0.2146680380813466,0.19320022638821577,0.41801639616164876,
gen=38_member=4778_pso,50.0,96.28697086898289,95.73899656502617,7.067698462137324,1.532301537862676,7.069847760380488,1.5301522396195122,0.0021492982431636776,-0.0021492982431638996,0.08983395263348747,0.08983395263348753,6.9034673410496294,7.048393746775275,7.205189263835132,1.352202701086181,1.5125760130095858,1.660239328032277,0.07215747878785925,0.03500409027234791,-0.002149298243163446,0.20646775148909846,0.18613251630298944,0.41801639616164876,
