member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,T_factor__T_minus_10pct,T_value__T_minus_10pct,depletion_cfs__T_minus_10pct,streamflow_cfs__T_minus_10pct,ag_receipts_reeval__T_minus_10pct,fish_prob_reeval__T_minus_10pct,T_factor__baseline_T,T_value__baseline_T,depletion_cfs__baseline_T,streamflow_cfs__baseline_T,ag_receipts_reeval__baseline_T,fish_prob_reeval__baseline_T,T_factor__T_plus_10pct,T_value__T_plus_10pct,depletion_cfs__T_plus_10pct,streamflow_cfs__T_plus_10pct,ag_receipts_reeval__T_plus_10pct,fish_prob_reeval__T_plus_10pct
gen=38_member=4827_pso,50,113.58228336854604,113.21257762424806,0.9,1530.0,3.489505962630398,5.110494037369602,12171637.808199104,0.6453267473395217,1.0,1700.0,3.6942238435807764,4.905776156419224,12171637.808199104,0.6315964370568931,1.1,1870.0000000000002,3.8852287890089605,4.714771210991039,12171637.808199104,0.617013012463954
gen=46_member=5827_pso,50,114.11920195538859,113.22333719727689,0.9,1530.0,3.352873664679044,5.247126335320956,12142688.246643651,0.6534091664491037,1.0,1700.0,3.55433404505438,5.045665954945619,12142688.246643651,0.6414918727156044,1.1,1870.0000000000002,3.7429797180635505,4.85702028193645,12142688.246643651,0.6278738757515384
gen=49_member=6197_pso,50,103.38252010742895,101.62467203250553,0.9,1530.0,1.710400780945144,6.889599219054856,10994705.05589987,0.7148654662885647,1.0,1700.0,1.8329120045363683,6.767087995463632,10994705.05589987,0.7123287022863757,1.1,1870.0000000000002,1.948083179211274,6.651916820788726,10994705.05589987,0.7099439241293967
gen=34_member=4254_pso,50,109.81719802653583,109.37435490938714,0.9,1530.0,2.4105510513701263,6.189448948629874,11826081.210188618,0.6969997013970047,1.0,1700.0,2.567989490219597,6.032010509780402,11826081.210188618,0.6920321690599462,1.1,1870.0000000000002,2.716259208031916,5.8837407919680835,11826081.210188618,0.6857546063906881
gen=46_member=5867_pso,50,105.21533215860791,103.53371204745807,0.9,1530.0,1.852607100959544,6.747392899040456,11245910.539729662,0.7119208881273019,1.0,1700.0,1.9786016706863572,6.621398329313642,11245910.539729662,0.7093119966348724,1.1,1870.0000000000002,2.0974679427646374,6.502532057235362,11245910.539729662,0.7068507063853463
gen=31_member=3915_pso,50,113.13347995202655,113.0032712800369,0.9,1530.0,3.4581352203206177,5.141864779679382,12151250.97606472,0.6471824687972448,1.0,1700.0,3.661584123403055,4.938415876596945,12151250.97606472,0.6340885133582651,1.1,1870.0000000000002,3.8513802277643334,4.748619772235666,12151250.97606472,0.6195973850276273
gen=47_member=5976_pso,50,107.22293932834354,104.56205629468799,0.9,1530.0,1.9605126269293602,6.639487373070639,11362024.609674983,0.7096865552564554,1.0,1700.0,2.0903335195470634,6.509666480452936,11362024.609674983,0.7069984344666127,1.1,1870.0000000000002,2.2123318822806337,6.387668117719366,11362024.609674983,0.7032539563265673
gen=39_member=4925_pso,50,111.72583306287677,110.5852186046211,0.9,1530.0,2.5658058771706584,6.034194122829341,11896391.93605654,0.6921010669003433,1.0,1700.0,2.7357023605755346,5.864297639424465,11896391.93605654,0.6848736613500962,1.1,1870.0000000000002,2.8969960090328883,5.703003990967112,11896391.93605654,0.6775656469029161
gen=36_member=4494_pso,50,98.48460680972522,96.85103265995991,0.9,1530.0,1.4788802925425768,7.121119707457423,10420504.849209998,0.718563091827109,1.0,1700.0,1.5819928162554864,7.018007183744514,10420504.849209998,0.7173613368349876,1.1,1870.0000000000002,1.679719134294696,6.920280865705304,10420504.849209998,0.7155007721362187
gen=44_member=5537_pso,50,100.63717773873304,98.65700758717853,0.9,1530.0,1.5668961699541073,7.033103830045892,10636170.166640699,0.717537285103963,1.0,1700.0,1.675585522721344,6.924414477278655,10636170.166640699,0.7155863642699917,1.1,1870.0000000000002,1.7786608383162392,6.821339161683761,10636170.166640699,0.713452047572708
