member,scenario,T_multiplier,total_pumping_cfs,depletion_metric_cfs,depletion_metric_source,streamflow_metric_cfs
gen=29_member=1091_pso,Tplus10per,1.1,110.69621407514092,2.716851304970195,lpr:total_combined:bdpl,5.883148695029805
gen=43_member=1609_pso,Tplus10per,1.1,112.52100234142843,3.297535837853389,lpr:total_combined:bdpl,5.30246416214661
gen=26_member=962_pso,Tplus10per,1.1,115.81658721539665,5.029955920680819,lpr:total_combined:bdpl,3.5700440793191808
gen=19_member=718_pso,Tplus10per,1.1,110.84005229221398,2.756921357276755,lpr:total_combined:bdpl,5.843078642723245
gen=49_member=1830_pso,Tplus10per,1.1,115.8577847877959,5.039406940404792,lpr:total_combined:bdpl,3.5605930595952078
gen=39_member=1460_pso,Tplus10per,1.1,114.67875523336967,4.362364013233073,lpr:total_combined:bdpl,4.237635986766927
gen=31_member=1164_pso,Tplus10per,1.1,113.65077363831176,3.8212926589813465,lpr:total_combined:bdpl,4.778707341018653
28,Tplus10per,1.1,116.5076897050899,5.350520956073015,lpr:total_combined:bdpl,3.2494790439269847
gen=44_member=1663_pso,Tplus10per,1.1,115.00341276495766,4.544604947535065,lpr:total_combined:bdpl,4.0553950524649345
gen=30_member=1124_pso,Tplus10per,1.1,115.67987000348484,4.940745843226944,lpr:total_combined:bdpl,3.6592541567730557
gen=23_member=839_pso,Tplus10per,1.1,112.93738525123864,3.470286287401702,lpr:total_combined:bdpl,5.1297137125982974
gen=41_member=1550_pso,Tplus10per,1.1,114.9131170450644,4.500049101331755,lpr:total_combined:bdpl,4.0999508986682445
gen=35_member=1312_pso,Tplus10per,1.1,115.57060657679752,4.869936933758767,lpr:total_combined:bdpl,3.7300630662412324
gen=47_member=1759_pso,Tplus10per,1.1,114.14872010572448,4.073560561204328,lpr:total_combined:bdpl,4.526439438795672
gen=19_member=704_pso,Tplus10per,1.1,112.80006038019113,3.4174853237324454,lpr:total_combined:bdpl,5.182514676267554
gen=10_member=348_pso,Tplus10per,1.1,115.39375906108506,4.786453329508979,lpr:total_combined:bdpl,3.8135466704910206
gen=26_member=959_pso,Tplus10per,1.1,116.17180008980091,5.214987039794603,lpr:total_combined:bdpl,3.3850129602053967
gen=22_member=807_pso,Tplus10per,1.1,115.04037934481653,4.571223595614257,lpr:total_combined:bdpl,4.028776404385742
gen=31_member=1158_pso,Tplus10per,1.1,114.42277232160158,4.222564665290362,lpr:total_combined:bdpl,4.377435334709638
gen=28_member=1048_pso,Tplus10per,1.1,111.59906044698201,3.0133590527640406,lpr:total_combined:bdpl,5.586640947235959
gen=41_member=1534_pso,Tplus10per,1.1,111.30531069752391,2.911381714532384,lpr:total_combined:bdpl,5.688618285467616
gen=48_member=1793_pso,Tplus10per,1.1,110.50614743796157,2.667143773732998,lpr:total_combined:bdpl,5.932856226267002
gen=36_member=1364_pso,Tplus10per,1.1,114.39014814578641,4.212121106238757,lpr:total_combined:bdpl,4.3878788937612425
gen=47_member=1757_pso,Tplus10per,1.1,114.77163239999987,4.411352043772533,lpr:total_combined:bdpl,4.1886479562274666
gen=18_member=683_pso,Tplus10per,1.1,115.74791713726916,4.970370297728623,lpr:total_combined:bdpl,3.6296297022713766
gen=17_member=644_pso,Tplus10per,1.1,112.47541457236228,3.27529840680518,lpr:total_combined:bdpl,5.32470159319482
gen=48_member=1815_pso,Tplus10per,1.1,115.92222740261694,5.072086032414424,lpr:total_combined:bdpl,3.527913967585576
gen=28_member=1060_pso,Tplus10per,1.1,114.71810771192585,4.38259598231225,lpr:total_combined:bdpl,4.21740401768775
gen=38_member=1428_pso,Tplus10per,1.1,116.19854689588612,5.233633010262702,lpr:total_combined:bdpl,3.3663669897372976
gen=31_member=1160_pso,Tplus10per,1.1,114.01049469179053,3.997797436415013,lpr:total_combined:bdpl,4.602202563584987
gen=13_member=469_pso,Tplus10per,1.1,114.5886837646402,4.312978826256453,lpr:total_combined:bdpl,4.287021173743547
gen=28_member=1030_pso,Tplus10per,1.1,116.40601051931519,5.3480336994966535,lpr:total_combined:bdpl,3.251966300503346
gen=37_member=1392_pso,Tplus10per,1.1,112.94121111026442,3.508399208841297,lpr:total_combined:bdpl,5.091600791158703
gen=31_member=1151_pso,Tplus10per,1.1,114.36927343737153,4.193504077327304,lpr:total_combined:bdpl,4.406495922672696
gen=33_member=1241_pso,Tplus10per,1.1,115.46001497469747,4.81220179068913,lpr:total_combined:bdpl,3.7877982093108695
gen=31_member=1153_pso,Tplus10per,1.1,115.75908643150986,4.977875104373439,lpr:total_combined:bdpl,3.622124895626561
gen=37_member=1398_pso,Tplus10per,1.1,114.80961470591932,4.438205950983609,lpr:total_combined:bdpl,4.1617940490163905
gen=34_member=1267_pso,Tplus10per,1.1,113.25726362174807,3.6285304225353103,lpr:total_combined:bdpl,4.971469577464689
gen=41_member=1526_pso,Tplus10per,1.1,112.0513942114105,3.1323427885444106,lpr:total_combined:bdpl,5.467657211455589
gen=38_member=1432_pso,Tplus10per,1.1,112.39703895327425,3.251413977267834,lpr:total_combined:bdpl,5.3485860227321655
gen=39_member=1474_pso,Tplus10per,1.1,115.02288554317028,4.554524905927299,lpr:total_combined:bdpl,4.0454750940727005
gen=32_member=1207_pso,Tplus10per,1.1,115.95262440006191,5.092208051084945,lpr:total_combined:bdpl,3.507791948915055
gen=34_member=1258_pso,Tplus10per,1.1,111.96462977354737,3.11299682135507,lpr:total_combined:bdpl,5.48700317864493
gen=49_member=1833_pso,Tplus10per,1.1,115.27040513265263,4.697545578125272,lpr:total_combined:bdpl,3.9024544218747277
gen=25_member=939_pso,Tplus10per,1.1,114.96221206757585,4.521304074500369,lpr:total_combined:bdpl,4.0786959254996304
gen=42_member=1590_pso,Tplus10per,1.1,111.54001759492617,2.957023292335447,lpr:total_combined:bdpl,5.642976707664553
