total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,member,scenario
0.0,0.2331122128219585,-0.2331122128219585,gen=47_member=1757_pso,Tplus10per
0.0,0.2260816310058411,-0.2260816310058411,gen=47_member=1759_pso,Tplus10per
0.0,0.21892265577314962,-0.21892265577314962,gen=47_member=1765_pso,Tplus10per
0.0,0.19034233832319325,-0.1903423383231928,gen=47_member=1772_pso,Tplus10per
0.0,0.17737142721733923,-0.17737142721733878,gen=48_member=1793_pso,Tplus10per
0.0,0.2127366725678712,-0.2127366725678712,gen=48_member=1796_pso,Tplus10per
0.0,0.2499931641763693,-0.2499931641763693,gen=48_member=1815_pso,Tplus10per
0.0,0.23096869281450072,-0.23096869281450072,gen=48_member=1819_pso,Tplus10per
0.0,0.2083190647455626,-0.20831906474556217,gen=48_member=1821_pso,Tplus10per
0.0,0.17623754356461152,-0.17623754356461152,gen=49_member=1825_pso,Tplus10per
0.0,0.24885116784608563,-0.24885116784608563,gen=49_member=1830_pso,Tplus10per
0.0,0.2404771242186312,-0.2404771242186312,gen=49_member=1833_pso,Tplus10per
0.0,0.1965873092583612,-0.1965873092583612,gen=49_member=1842_pso,Tplus10per
0.0,0.20613231218429817,-0.20613231218429817,gen=49_member=1852_pso,Tplus10per
0.0,0.2207736619852927,-0.2207736619852927,gen=50_member=1866_pso,Tplus10per
0.0,0.24728638076846465,-0.24728638076846465,gen=50_member=1871_pso,Tplus10per
0.0,0.24211130339278775,-0.24211130339278775,gen=50_member=1880_pso,Tplus10per
0.0,0.24560765017793518,-0.24560765017793518,gen=7_member=253_pso,Tplus10per
0.0,0.2530449055471582,-0.2530449055471582,gen=7_member=260_pso,Tplus10per
0.0,0.2511632923441063,-0.2511632923441063,gen=9_member=318_pso,Tplus10per
0.0,-0.27643768659313306,0.27643768659313306,0,Tmin10per
0.0,-0.2841965938391331,0.2841965938391331,10,Tmin10per
0.0,-0.2833025318871716,0.2833025318871716,12,Tmin10per
0.0,-0.2732688201722864,0.2732688201722864,20,Tmin10per
0.0,-0.2764936105916327,0.2764936105916327,28,Tmin10per
0.0,-0.2746712505900293,0.2746712505900293,30,Tmin10per
0.0,-0.27988965609464067,0.27988965609464067,36,Tmin10per
0.0,-0.28355627570034336,0.28355627570034336,8,Tmin10per
0.0,-0.25830425288745307,0.25830425288745307,gen=10_member=348_pso,Tmin10per
0.0,-0.25613035452750665,0.25613035452750665,gen=11_member=402_pso,Tmin10per
0.0,-0.2531546117809498,0.2531546117809498,gen=11_member=412_pso,Tmin10per
0.0,-0.19190477853956667,0.1919047785395671,gen=12_member=420_pso,Tmin10per
0.0,-0.25884749756736625,0.25884749756736625,gen=12_member=452_pso,Tmin10per
0.0,-0.2646474642419676,0.2646474642419676,gen=12_member=454_pso,Tmin10per
0.0,-0.2457580124575296,0.2457580124575296,gen=13_member=469_pso,Tmin10per
0.0,-0.19026549093379552,0.19026549093379508,gen=15_member=533_pso,Tmin10per
0.0,-0.22233295081037063,0.22233295081037063,gen=16_member=590_pso,Tmin10per
0.0,-0.21034678537125373,0.21034678537125373,gen=16_member=602_pso,Tmin10per
0.0,-0.24946786459786852,0.24946786459786807,gen=16_member=606_pso,Tmin10per
0.0,-0.2071574935658811,0.2071574935658811,gen=17_member=633_pso,Tmin10per
0.0,-0.2135545522990574,0.2135545522990574,gen=17_member=644_pso,Tmin10per
0.0,-0.25698456254565105,0.25698456254565105,gen=18_member=662_pso,Tmin10per
0.0,-0.2158705706129176,0.2158705706129176,gen=18_member=675_pso,Tmin10per
0.0,-0.2536734257003488,0.2536734257003488,gen=18_member=676_pso,Tmin10per
0.0,-0.26422579088719633,0.26422579088719633,gen=18_member=683_pso,Tmin10per
0.0,-0.21852560533813348,0.21852560533813392,gen=19_member=704_pso,Tmin10per
0.0,-0.24807224254729876,0.24807224254729832,gen=19_member=712_pso,Tmin10per
0.0,-0.18983134439444438,0.1898313443944435,gen=19_member=718_pso,Tmin10per
0.0,-0.25073047842838125,0.25073047842838125,gen=20_member=729_pso,Tmin10per
0.0,-0.2531086505350242,0.2531086505350242,gen=20_member=738_pso,Tmin10per
0.0,-0.19335084675725067,0.19335084675724978,gen=21_member=768_pso,Tmin10per
0.0,-0.254710708650733,0.254710708650733,gen=21_member=780_pso,Tmin10per
0.0,-0.22992405254569626,0.22992405254569626,gen=21_member=789_pso,Tmin10per
0.0,-0.2186954802355654,0.2186954802355654,gen=22_member=800_pso,Tmin10per
