member,generation,scenario,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,z_score,parameter_factor,parameter_value,base_parameter_value,probability_weight,parameter_name,parameter_label,parameter_symbol
gen=46_member=7881_pso,50,storage_zminus_2p00,,,0.8,0.096,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.6463386682892134,6.953661331710786,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=27_member=4566_pso,50,storage_zminus_2p00,,,0.8,0.096,34.2026964,34.20265674649548,112.8151859464955,2.87573,3.300980714555752,5.299019285444247,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=39_member=6698_pso,50,storage_zminus_2p00,,,0.8,0.096,33.52026,33.52015097310551,112.13268017310553,2.6497,3.048059718417277,5.551940281582722,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=41_member=6986_pso,50,storage_zminus_2p00,,,0.8,0.096,35.7676436,35.767651554973604,114.3801807549736,3.58673,4.066695618046971,4.5333043819530285,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=41_member=6973_pso,50,storage_zminus_2p00,,,0.8,0.096,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.74376537066386,4.856234629336139,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=27_member=4568_pso,50,storage_zminus_2p00,,,0.8,0.096,32.5586552,32.558684654753776,111.17121385475376,2.37042,2.739741127340804,5.860258872659196,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=37_member=6357_pso,50,storage_zminus_2p00,,,0.8,0.096,32.625718,32.62572860768373,111.23825780768374,2.3887,2.762663684214468,5.837336315785532,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=8006_pso,50,storage_zminus_2p00,,,0.8,0.096,36.7613316,36.761407828424296,115.37393702842432,4.09604,4.602227563295274,3.997772436704726,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=41_member=6898_pso,50,storage_zminus_2p00,,,0.8,0.096,31.489438,31.489447863162184,110.10197706316218,2.11934,2.468437810247672,6.131562189752328,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=39_member=6668_pso,50,storage_zminus_2p00,,,0.8,0.096,33.933108399999995,33.933030846740984,112.545560046741,2.77099,3.181498186017079,5.418501813982921,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8200_pso,50,storage_zminus_2p00,,,0.8,0.096,34.8907028,34.89080581472363,113.50333501472365,3.16725,3.616853838880156,4.983146161119844,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=32_member=5452_pso,50,storage_zminus_2p00,,,0.8,0.096,34.8474796,34.84753054005696,113.46005974005696,3.14182,3.587747697803711,5.012252302196289,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=44_member=7522_pso,50,storage_zminus_2p00,,,0.8,0.096,33.1631116,33.16311565476033,111.77564485476032,2.53937,2.9260944906396387,5.673905509360361,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=45_member=7699_pso,50,storage_zminus_2p00,,,0.8,0.096,25.6714616,25.671464649350018,104.28399384935004,1.28466,1.536653371193102,7.063346628806897,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=38_member=6478_pso,50,storage_zminus_2p00,,,0.8,0.096,35.2785976,35.27857906393331,113.8911082639333,3.35376,3.819087849257969,4.780912150742031,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8105_pso,50,storage_zminus_2p00,,,0.8,0.096,36.5527908,36.55273076856624,115.16525996856625,3.9902,4.490776176048876,4.109223823951123,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=7995_pso,50,storage_zminus_2p00,,,0.8,0.096,36.4975364,36.49744644974915,115.10997564974916,3.97511,4.47986628957127,4.120133710428729,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=38_member=6507_pso,50,storage_zminus_2p00,,,0.8,0.096,36.2430988,36.243072285057984,114.855601485058,3.82686,4.316909316074168,4.283090683925832,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=8017_pso,50,storage_zminus_2p00,,,0.8,0.096,26.3334004,26.33332130996634,104.94585050996632,1.31111,1.5703097194172064,7.029690280582793,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=28_member=4806_pso,50,storage_zminus_2p00,,,0.8,0.096,36.335338,36.335363024535646,114.94789222453564,3.87574,4.36812133130067,4.23187866869933,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=33_member=5559_pso,50,storage_zminus_2p00,,,0.8,0.096,32.1440244,32.1440689013816,110.7565981013816,2.27771,2.6423730628568034,5.957626937143196,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=28_member=4728_pso,50,storage_zminus_2p00,,,0.8,0.096,25.063886,25.063855919912235,103.67638511991224,1.21593,1.4652098555016253,7.134790144498375,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=30_member=4999_pso,50,storage_zminus_2p00,,,0.8,0.096,33.9879172,33.98794532305361,112.60047452305362,2.78942,3.207283607207538,5.392716392792462,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=7949_pso,50,storage_zminus_2p00,,,0.8,0.096,31.0690144,31.06896850977157,109.68149770977158,1.99378,2.329232971252172,6.270767028747827,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=37_member=6216_pso,50,storage_zminus_2p00,,,0.8,0.096,34.7610332,34.76111558406628,113.37364478406629,3.104,3.5447945739408957,5.055205426059104,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=35_member=5892_pso,50,storage_zminus_2p00,,,0.8,0.096,33.624976,33.6250096550061,112.23753885500612,2.6693,3.069751703793083,5.530248296206917,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=7933_pso,50,storage_zminus_2p00,,,0.8,0.096,26.4996092,26.49956968298791,105.11209888298792,1.3367,1.598426434506604,7.001573565493396,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
