member,generation,ag_receipts_archive,fish_prob_archive,ag_receipts_reeval,fish_prob_reeval,raw_total_pumping_archive_gpm,raw_total_pumping_reeval_gpm,raw_total_pumping_archive_cfs,raw_total_pumping_reeval_cfs,effective_total_pumping_archive_gpm,effective_total_pumping_reeval_gpm,effective_total_pumping_archive_cfs,effective_total_pumping_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs,depletion_reeval_cfs,streamflow_reeval_cfs
gen=43_member=5423_pso,50,12257800.0,0.594933,12257750.350139363,0.5949331697342024,51233.33114761955,51233.33114761955,114.14786179689636,114.14786179689636,51233.33114761955,51233.33114761955,114.14786179689636,114.14786179689636,4.161391541390667,4.438608458609333,4.161391541390667,4.438608458609333
gen=38_member=4827_pso,50,12171600.0,0.631596,12171637.808199104,0.6315964370568931,50979.48086559517,50979.48086559517,113.58228336854604,113.58228336854604,50813.54471465353,50813.54471465353,113.21257762424806,113.21257762424806,3.694223843580776,4.905776156419224,3.6942238435807764,4.905776156419224
gen=46_member=5827_pso,50,12142700.0,0.641492,12142688.246643651,0.6414918727156044,51220.46766399847,51220.46766399847,114.11920195538859,114.11920195538859,50818.373966461804,50818.373966461804,113.22333719727689,113.22333719727689,3.55433404505438,5.045665954945619,3.55433404505438,5.045665954945619
gen=49_member=6197_pso,50,10994700.0,0.712329,10994705.05589987,0.7123287022863757,46401.49017389091,46401.49017389091,103.38252010742895,103.38252010742895,45612.509888916305,45612.509888916305,101.62467203250553,101.62467203250553,1.832912004536368,6.767087995463632,1.8329120045363683,6.767087995463632
gen=34_member=4254_pso,50,11826100.0,0.692032,11826081.210188618,0.6920321690599462,49289.58618785271,49289.58618785271,109.81719802653583,109.81719802653583,49090.82356794755,49090.82356794755,109.37435490938714,109.37435490938714,2.5679894902195968,6.032010509780402,2.567989490219597,6.032010509780402
gen=46_member=5867_pso,50,11245900.0,0.709312,11245910.539729662,0.7093119966348724,47224.11676777734,47224.11676777734,105.21533215860791,105.21533215860791,46469.35011106735,46469.35011106735,103.53371204745807,103.53371204745807,1.9786016706863572,6.621398329313642,1.9786016706863572,6.621398329313642
gen=31_member=3915_pso,50,12151300.0,0.634089,12151250.97606472,0.6340885133582651,50778.043066439204,50778.043066439204,113.13347995202655,113.13347995202655,50719.60111312249,50719.60111312249,113.0032712800369,113.0032712800369,3.6615841234030553,4.938415876596944,3.661584123403055,4.938415876596945
gen=47_member=5976_pso,50,11362000.0,0.706998,11362024.609674983,0.7069984344666127,48125.197185073404,48125.197185073404,107.22293932834354,107.22293932834354,46930.904979662475,46930.904979662475,104.56205629468799,104.56205629468799,2.090333519547064,6.509666480452935,2.0903335195470634,6.509666480452936
gen=39_member=4925_pso,50,11896400.0,0.684874,11896391.93605654,0.6848736613500962,50146.24464222477,50146.24464222477,111.72583306287677,111.72583306287677,49634.299194174644,49634.299194174644,110.5852186046211,110.5852186046211,2.7357023605755346,5.864297639424465,2.7357023605755346,5.864297639424465
gen=36_member=4494_pso,50,10420500.0,0.717361,10420504.849209998,0.7173613368349876,44203.144887668415,44203.144887668415,98.48460680972522,98.48460680972522,43469.94284558344,43469.94284558344,96.85103265995991,96.85103265995991,1.5819928162554864,7.018007183744514,1.5819928162554864,7.018007183744514
