child,parent_1,parent_2,parent_3
GEN=2_MEMBER=326_PSO,GEN=1_MEMBER=154_PSO,,
GEN=2_MEMBER=327_PSO,43,,
GEN=2_MEMBER=328_PSO,GEN=1_MEMBER=136_PSO,,
GEN=2_MEMBER=329_PSO,GEN=1_MEMBER=159_PSO,,
GEN=2_MEMBER=330_PSO,0,,
GEN=2_MEMBER=331_PSO,GEN=1_MEMBER=0_PSO,,
GEN=2_MEMBER=332_PSO,151,,
GEN=2_MEMBER=333_PSO,103,,
GEN=2_MEMBER=334_PSO,GEN=1_MEMBER=29_PSO,,
GEN=2_MEMBER=335_PSO,19,,
GEN=2_MEMBER=336_PSO,169,,
GEN=2_MEMBER=337_PSO,58,,
GEN=2_MEMBER=338_PSO,158,,
GEN=2_MEMBER=339_PSO,GEN=1_MEMBER=76_PSO,,
GEN=2_MEMBER=340_PSO,149,,
GEN=2_MEMBER=341_PSO,70,,
GEN=2_MEMBER=342_PSO,107,,
GEN=2_MEMBER=343_PSO,GEN=1_MEMBER=116_PSO,,
GEN=3_MEMBER=344_PSO,152,,
GEN=3_MEMBER=345_PSO,GEN=2_MEMBER=183_PSO,,
GEN=3_MEMBER=346_PSO,GEN=2_MEMBER=245_PSO,,
GEN=3_MEMBER=347_PSO,130,,
GEN=3_MEMBER=348_PSO,16,,
GEN=3_MEMBER=349_PSO,GEN=2_MEMBER=303_PSO,,
GEN=3_MEMBER=350_PSO,GEN=2_MEMBER=177_PSO,,
GEN=3_MEMBER=351_PSO,GEN=1_MEMBER=85_PSO,,
GEN=3_MEMBER=352_PSO,GEN=2_MEMBER=216_PSO,,
GEN=3_MEMBER=353_PSO,GEN=2_MEMBER=334_PSO,,
GEN=3_MEMBER=354_PSO,GEN=2_MEMBER=257_PSO,,
GEN=3_MEMBER=355_PSO,GEN=2_MEMBER=199_PSO,,
GEN=3_MEMBER=356_PSO,GEN=2_MEMBER=209_PSO,,
GEN=3_MEMBER=357_PSO,GEN=2_MEMBER=296_PSO,,
