member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,depletion_reeval_cfs,streamflow_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs
gen=44_member=5538_pso,50,110.35978999043485,109.149700497981,2.5222147023207153,6.077785297679284,2.5222147023207158,6.077785297679284
gen=47_member=5958_pso,50,104.46886342205235,103.68786455809354,2.0026522535261395,6.59734774647386,2.0026522535261395,6.59734774647386
gen=46_member=5862_pso,50,113.34583744841463,113.0969236413901,3.472613185398164,5.127386814601836,3.472613185398164,5.127386814601836
gen=48_member=6077_pso,50,110.31867225573538,109.01400043970366,2.508382479005553,6.091617520994447,2.5083824790055527,6.091617520994447
gen=38_member=4784_pso,50,106.1827838891305,103.04783317258301,1.9335854021290155,6.666414597870984,1.9335854021290155,6.666414597870984
gen=38_member=4799_pso,50,112.07050960387664,110.56961921480378,2.8799603574189843,5.720039642581016,2.879960357418984,5.720039642581016
gen=33_member=4144_pso,50,97.77897338467862,96.24435466052263,1.5511039817159038,7.048896018284096,1.5511039817159038,7.048896018284096
gen=40_member=5066_pso,50,109.7860988585555,108.71705079604108,2.4581485139404498,6.14185148605955,2.4581485139404498,6.14185148605955
gen=40_member=5054_pso,50,108.68417066619094,107.34892054322654,2.2791367860329963,6.320863213967003,2.279136786032996,6.320863213967003
gen=45_member=5693_pso,50,100.28955246444755,98.77147178738257,1.6855932697084197,6.91440673029158,1.6855932697084195,6.91440673029158
gen=48_member=6031_pso,50,112.60765764772395,112.20077846311648,3.1481278453861616,5.451872154613838,3.148127845386162,5.451872154613838
gen=31_member=3921_pso,50,113.08998190908493,112.60699541547174,3.432259262983702,5.167740737016297,3.432259262983702,5.167740737016297
gen=44_member=5545_pso,50,108.99844165553478,107.39647421406681,2.2931497480897933,6.306850251910206,2.2931497480897933,6.306850251910206
gen=39_member=4943_pso,50,110.40547897790981,107.53122809735844,2.350363895023021,6.249636104976979,2.350363895023021,6.249636104976979
gen=34_member=4333_pso,50,109.59674723816163,106.99026041312557,2.272533832543477,6.327466167456523,2.272533832543477,6.327466167456523
gen=46_member=5865_pso,50,99.34269837540397,97.8101484614914,1.6234691380700301,6.9765308619299695,1.62346913807003,6.9765308619299695
gen=35_member=4371_pso,50,109.40350715755716,108.63855991370374,2.4360379341798524,6.163962065820147,2.4360379341798524,6.163962065820147
gen=39_member=4906_pso,50,106.00551992707378,102.6470658946195,1.9250045537733647,6.674995446226635,1.9250045537733649,6.674995446226635
gen=47_member=5999_pso,50,100.64403481361417,98.01395825622748,1.631188793752154,6.968811206247846,1.631188793752154,6.968811206247846
gen=42_member=5333_pso,50,101.40107764307871,99.02927744287139,1.7060212905279992,6.893978709472,1.7060212905279992,6.893978709472
