member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=41_member=6898_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.489438,31.489447863162184,110.10197706316218,2.11934,1.8077146993882098,6.792285300611789
gen=39_member=6668_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.933108399999995,33.933030846740984,112.545560046741,2.77099,2.3974971353745467,6.202502864625453
gen=48_member=8200_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.8907028,34.89080581472363,113.50333501472363,3.16725,2.7536495910081764,5.846350408991823
gen=32_member=5452_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.8474796,34.84753054005696,113.46005974005696,3.14182,2.732845842519523,5.867154157480477
gen=44_member=7522_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,33.1631116,33.16311565476033,111.77564485476033,2.53937,2.1897765950952124,6.410223404904787
gen=45_member=7699_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,25.6714616,25.671464649350018,104.28399384935003,1.28466,1.0586618591683037,7.541338140831696
gen=38_member=6478_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,35.2785976,35.27857906393331,113.8911082639333,3.35376,2.922948066734109,5.677051933265891
gen=48_member=8105_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.5527908,36.55273076856624,115.16525996856623,3.9902,3.523199865306282,5.076800134693718
gen=47_member=7995_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.497536399999994,36.49744644974915,115.10997564974916,3.97511,3.5027153563333977,5.097284643666602
gen=38_member=6507_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.2430988,36.243072285057984,114.85560148505799,3.82686,3.3706136064640635,5.229386393535936
gen=47_member=8017_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,26.3334004,26.33332130996634,104.94585050996633,1.31111,1.0774675660200506,7.522532433979949
gen=28_member=4806_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.335338,36.335363024535646,114.94789222453565,3.87574,3.4171161550983884,5.182883844901611
