member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_of_streamflow_shortfall,shortfall_tolerance_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,best_case_streamflow_cfs,worst_case_streamflow_cfs,best_case_T_factor,best_case_S_factor,best_case_diffusivity_factor,worst_case_T_factor,worst_case_S_factor,worst_case_diffusivity_factor,expected_diffusivity_factor,min_diffusivity_factor,max_diffusivity_factor,n_joint_scenarios
gen=40_member=6722_pso,29.206608318766545,6.944390199200969,1.6556098007990303,6.938078952364487,1.661921047635513,-0.006311246836482098,0.0063112468364827645,0.1325251484220154,0.1325251484220154,0.06941819762924888,0.3563452770013061,1e-10,0.17330532595062237,0.17330532595062248,6.6401118483319275,6.931628422217567,7.185522164853428,1.3861791260196474,1.6556098007990296,1.9241328625089433,7.401086460533927,6.377810208674147,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=48_member=8113_pso,37.01352492542517,4.367598270003123,4.232401729996877,4.361488555371095,4.238511444628903,-0.006109714632027696,0.006109714632026808,0.23639458754431786,0.23639458754431777,0.12125215108817276,0.3563452770013061,1e-10,0.3086905187942289,0.30869051879422876,3.8391934491740884,4.367598270003122,4.8088122206586625,3.7378972056850697,4.232401729996877,4.7002089886498,5.222615207236433,3.4062839379782544,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=48_member=8218_pso,36.62363801974855,4.566011808360062,4.033988191639938,4.5595607346997316,4.040439265300268,-0.006451073660330486,0.006451073660330486,0.22857380425773316,0.22857380425773324,0.11751243895903182,0.3563452770013061,1e-10,0.29849361061297863,0.2984936106129787,4.053699452099893,4.566011808360062,4.991474841367926,3.557315396290241,4.033988191639936,4.487426763425767,5.3883349910458485,3.632069993314026,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=42_member=7058_pso,17.82511697626178,7.735417742788297,0.8645822572117029,7.730826226963093,0.8691737730369065,-0.004591515825203452,0.004591515825203563,0.08577515299672278,0.08577515299672273,0.04518333441096318,0.3563452770013061,1e-10,0.11215626544868534,0.11215626544868527,7.537148701668387,7.735417742788297,7.890360641678666,0.6916649368025594,0.8645822572117029,1.039489930023156,8.02606110927827,7.366147572375916,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=48_member=8245_pso,36.87888641911074,4.428793109285431,4.1712068907145685,4.422799183505999,4.177200816494,-0.005993925779431919,0.005993925779431919,0.23540329552633224,0.2354032955263322,0.12069861065288218,0.3563452770013061,1e-10,0.3074028602407471,0.30740286024074714,3.9028520356998713,4.406332441868602,4.868407701901139,3.678509883739804,4.171206890714568,4.636811152235163,5.281226174897096,3.4719916244869777,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=41_member=6922_pso,32.11592080418332,6.351789168161293,2.248210831838707,6.344644225418788,2.2553557745812123,-0.007144942742504767,0.0071449427425052114,0.15962041262327453,0.15962041262327462,0.08338267768288997,0.3563452770013061,1e-10,0.20875163881387876,0.20875163881387881,5.986512116497382,6.3517891681612895,6.643206344294,1.9223713236767455,2.233520166231039,2.570641420387743,6.907090534628502,5.672367486695908,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=41_member=6885_pso,16.94814371857778,7.771434562059899,0.8285654379401006,7.76718201806009,0.8328179819399097,-0.0042525439998089,0.004252543999809122,0.08023464510706449,0.0802346451070644,0.04224359455343691,0.3563452770013061,1e-10,0.1049234069308266,0.10492340693082655,7.586081600009631,7.771434562059898,7.916465959554488,0.6666822398015778,0.8212045455098579,0.9920761929331864,8.043891645181727,7.425434074013512,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=37_member=6262_pso,25.372800727077287,7.35750189008454,1.2424981099154595,7.352603362424909,1.247396637575091,-0.004898527659631391,0.004898527659631391,0.11365906045304627,0.11365906045304625,0.059278794056338915,0.3563452770013061,1e-10,0.14848921879732357,0.14848921879732352,7.098236065808197,7.3575018900845395,7.565373944735181,1.0101969526055459,1.232007199152326,1.4716080561943607,7.751272643606134,6.877348335283784,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=39_member=6554_pso,22.91493475179726,7.524014684405143,1.0759853155948564,7.519059646070408,1.0809403539295923,-0.004955038334735207,0.004955038334735873,0.10515943605641533,0.1051594360564154,0.05505723719557561,0.3563452770013061,1e-10,0.13740981434358307,0.13740981434358304,7.282871244198036,7.524014684405143,7.715425125891875,0.8622003712839984,1.0663006053545994,1.2889454851417632,7.885092213244883,7.078226099437576,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=44_member=7409_pso,29.02617500954204,6.981807724645755,1.6181922753542444,6.975621642401658,1.624378357598342,-0.006186082244096447,0.006186082244097557,0.12993114951660772,0.12993114951660759,0.06805861588035239,0.3563452770013061,1e-10,0.16990724500501903,0.16990724500501891,6.683501415724988,6.969294735179235,7.218215862534445,1.3540490921426545,1.6181922753542437,1.881453727234895,7.429810869110094,6.426506103860127,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=33_member=5597_pso,20.42544700516081,7.606280688038594,0.9937193119614058,7.601872388413351,0.9981276115866495,-0.0044082996252434725,0.0044082996252436946,0.09418647341368266,0.09418647341368261,0.049297386519463346,0.3563452770013061,1e-10,0.12309073031663208,0.12309073031663212,7.390360921000668,7.606280688038593,7.777787940331066,0.8021302925672986,0.9850465921517326,1.1843914371686766,7.930379243023498,7.206300250468267,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=35_member=5926_pso,28.75848621927199,6.994155876481956,1.6058441235180438,6.987877125103482,1.6121228748965175,-0.006278751378473224,0.006278751378473668,0.12957077325938202,0.1295707732593821,0.06792476231892768,0.3563452770013061,1e-10,0.16945903123665176,0.16945903123665182,6.696353899705479,6.981674394253972,7.229655951116935,1.3427394230435843,1.6058441235180436,1.8686184072472969,7.440994598648128,6.439185081337689,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=42_member=7147_pso,36.78548226240043,4.474642478923138,4.125357521076862,4.468637137885217,4.131362862114783,-0.0060053410379206085,0.006005341037921497,0.2340475012434875,0.23404750124348764,0.12002642114070439,0.3563452770013061,1e-10,0.3056135506376826,0.3056135506376827,3.9516981318497884,4.4523164057391735,4.911544592910601,3.6355847330097038,4.125357521076862,4.588388214493884,5.321890789756729,3.523441554385805,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
