child,parent_1,parent_2,parent_3
GEN=15_MEMBER=380_PSO,GEN=12_MEMBER=293_PSO,,
GEN=15_MEMBER=381_PSO,GEN=12_MEMBER=286_PSO,,
GEN=15_MEMBER=382_PSO,GEN=14_MEMBER=351_PSO,,
GEN=15_MEMBER=383_PSO,22,,
GEN=15_MEMBER=384_PSO,GEN=10_MEMBER=259_PSO,,
GEN=15_MEMBER=385_PSO,GEN=14_MEMBER=347_PSO,,
GEN=15_MEMBER=386_PSO,GEN=14_MEMBER=354_PSO,,
GEN=15_MEMBER=387_PSO,GEN=12_MEMBER=294_PSO,,
GEN=15_MEMBER=388_PSO,GEN=7_MEMBER=169_PSO,,
GEN=15_MEMBER=389_PSO,GEN=14_MEMBER=343_PSO,,
GEN=16_MEMBER=390_PSO,GEN=15_MEMBER=374_PSO,,
GEN=16_MEMBER=391_PSO,16,,
GEN=16_MEMBER=392_PSO,GEN=12_MEMBER=299_PSO,,
GEN=16_MEMBER=393_PSO,GEN=4_MEMBER=85_PSO,,
GEN=16_MEMBER=394_PSO,GEN=14_MEMBER=347_PSO,,
GEN=16_MEMBER=395_PSO,GEN=9_MEMBER=219_PSO,,
GEN=16_MEMBER=396_PSO,GEN=15_MEMBER=376_PSO,,
GEN=16_MEMBER=397_PSO,5,,
GEN=16_MEMBER=398_PSO,GEN=9_MEMBER=225_PSO,,
GEN=16_MEMBER=399_PSO,GEN=14_MEMBER=352_PSO,,
GEN=16_MEMBER=400_PSO,GEN=14_MEMBER=353_PSO,,
GEN=16_MEMBER=401_PSO,GEN=15_MEMBER=377_PSO,,
GEN=16_MEMBER=402_PSO,GEN=15_MEMBER=385_PSO,,
GEN=16_MEMBER=403_PSO,GEN=15_MEMBER=372_PSO,,
GEN=16_MEMBER=404_PSO,GEN=14_MEMBER=351_PSO,,
GEN=16_MEMBER=405_PSO,GEN=14_MEMBER=354_PSO,,
GEN=16_MEMBER=406_PSO,GEN=13_MEMBER=318_PSO,,
GEN=16_MEMBER=407_PSO,19,,
GEN=16_MEMBER=408_PSO,GEN=15_MEMBER=365_PSO,,
GEN=16_MEMBER=409_PSO,GEN=12_MEMBER=293_PSO,,
GEN=16_MEMBER=410_PSO,GEN=14_MEMBER=360_PSO,,
GEN=16_MEMBER=411_PSO,22,,
GEN=16_MEMBER=412_PSO,GEN=10_MEMBER=259_PSO,,
