member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_depletion_excess_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs
gen=38_member=6480_pso,31.407133065935877,6.525518949741783,2.0744810502582167,6.528564258806132,2.0714357411938678,0.0030453090643494107,-0.0030453090643489666,0.1085892342963973,0.10858923429639711,0.05277196261602441,0.05277196261602427,0.13514379196813267,0.13514379196813248,6.277978647121148,6.496410005304531,6.7319660119078595,1.8043030245536447,2.0447952471656845,2.2673480571709552
gen=43_member=7269_pso,36.83339971387087,4.456283809734449,4.14371619026555,4.46295278699012,4.13704721300988,0.006668977255670505,-0.006668977255670505,0.16515893629690537,0.1651589362969054,0.0792449795206175,0.0792449795206175,0.20570323197757726,0.20570323197757728,4.087105772558727,4.412194886427807,4.774979318088731,3.724608600837884,4.098462095344019,4.432533554479335
gen=35_member=5948_pso,37.07384621264411,4.260758125752932,4.339241874247068,4.267855987486082,4.3321440125139175,0.007097861733150523,-0.007097861733150523,0.16917737316419454,0.16917737316419454,0.08103975571552197,0.08103975571552197,0.21073372333100227,0.2107337233310022,3.8832396456875578,4.215745590544271,4.587696430766541,3.909177767609805,4.292791700022137,4.634599098933312
gen=29_member=4871_pso,17.843497187733753,7.718456365090395,0.8815436349096046,7.719887004322028,0.8801129956779713,0.0014306392316330019,-0.001430639231633335,0.0586099094271324,0.058609909427132456,0.0285896350977497,0.028589635097749654,0.07291290269031406,0.0729129026903141,7.584189882278902,7.702711836429753,7.829382223043431,0.7366538247255063,0.8655275694774066,0.9860892874178242
gen=36_member=6031_pso,31.338390787551674,6.545847233359204,2.054152766640796,6.548916763960672,2.051083236039329,0.0030695306014676405,-0.0030695306014667523,0.10750006292096505,0.10750006292096503,0.05221526615974923,0.05221526615974912,0.1337920983233719,0.13379209832337197,6.30097476687737,6.51703668717088,6.750347579643356,1.7864720598146802,2.024760801326202,2.2449624258067096
gen=39_member=6689_pso,29.416418185838467,6.921290500188534,1.6787094998114656,6.9238557666640554,1.6761442333359438,0.002565266475521355,-0.002565266475521799,0.09375611460016674,0.0937561146001666,0.04559542406232252,0.045595424062322414,0.11667213113889958,0.11667213113889946,6.707371980292016,6.896146966260859,7.099383555585225,1.4457379051608985,1.653079135901156,1.8453623110109678
gen=46_member=7811_pso,30.84800808580873,6.640381135980052,1.9596188640199474,6.643381925651689,1.9566180743483101,0.003000789671637527,-0.003000789671637305,0.10392882446241428,0.10392882446241433,0.05046401739538838,0.05046401739538856,0.12934366472489206,0.12934366472489206,6.403801733170748,6.612527396442346,6.838157645646263,1.7007330708455828,1.9311979126341474,2.1440096217108175
gen=36_member=6150_pso,29.510270949002532,6.884637529467785,1.715362470532215,6.887283937536124,1.7127160624638753,0.0026464080683394897,-0.0026464080683397118,0.09515347183280987,0.09515347183280973,0.04625353188223509,0.046253531882234966,0.11841299494798639,0.11841299494798628,6.6676877699930595,6.859123484341152,7.06548132683279,1.478754857050136,1.6893465546331683,1.8844038262458422
gen=28_member=4698_pso,19.62453473077234,7.651146524895162,0.9488534751048375,7.65273818755078,0.9472618124492195,0.0015916626556178315,-0.0015916626556180535,0.06488973497168617,0.06488973497168612,0.031649036158033925,0.03164903615803411,0.08072168140513693,0.0807216814051369,7.502540416391411,7.6337138257403385,7.773971013678943,0.788438487385312,0.9311182716315929,1.0645793960829257
gen=45_member=7580_pso,29.41977376399195,6.907203242054345,1.692796757945654,6.909775501308411,1.6902244986915889,0.0025722592540651235,-0.0025722592540651235,0.09409408946684424,0.09409408946684425,0.04576091510638942,0.045760915106389494,0.11709342778191772,0.11709342778191777,6.692501579507435,6.881969242834288,7.085933982477775,1.4589881290464597,1.667074791535692,1.8600562656136286
