member,generation,fixed_pumping_cfs,fixed_streamflow_cfs,fixed_depletion_cfs,optimized_streamflow_cfs,optimized_depletion_cfs,scenario,original_scenario,scenario_label,streamflow_gap_cfs,depletion_gap_cfs,streamflow_loss_cfs,depletion_loss_cfs,fixed_streamflow_advantage_cfs,fixed_depletion_advantage_cfs,fixed_better_streamflow,fixed_better_depletion,absolute_streamflow_gap_cfs,absolute_depletion_gap_cfs,is_comparable_with_original_front,original_front_pumping_min_cfs,original_front_pumping_max_cfs
gen=39_member=4891_pso,50,114.03231986760248,4.685793525533264,3.9142064744667353,4.7769369358452805,3.823063064154719,T_minus_10pct,original_T_minus_10pct,T −10%,0.09114341031201612,0.09114341031201612,0.09114341031201612,0.09114341031201612,0.0,0.0,False,False,0.09114341031201612,0.09114341031201612,True,91.74281113919692,117.41614755261728
gen=38_member=4772_pso,50,104.91317880806484,6.668970772170159,1.9310292278298409,6.647521082264847,1.9524789177351536,T_minus_10pct,original_T_minus_10pct,T −10%,-0.02144968990531204,-0.021449689905312708,0.0,0.0,0.02144968990531204,0.021449689905312708,True,True,0.02144968990531204,0.021449689905312708,True,91.74281113919692,117.41614755261728
gen=42_member=5263_pso,50,114.2226322908421,4.627931516218817,3.972068483781182,4.660760928995082,3.9392390710049168,T_minus_10pct,original_T_minus_10pct,T −10%,0.032829412776265166,0.032829412776265166,0.032829412776265166,0.032829412776265166,0.0,0.0,False,False,0.032829412776265166,0.032829412776265166,True,91.74281113919692,117.41614755261728
gen=40_member=5076_pso,50,109.05327032793032,6.247994738183435,2.352005261816565,6.258185408844886,2.341814591155113,T_minus_10pct,original_T_minus_10pct,T −10%,0.010190670661451406,0.01019067066145185,0.010190670661451406,0.01019067066145185,0.0,0.0,False,False,0.010190670661451406,0.01019067066145185,True,91.74281113919692,117.41614755261728
gen=49_member=6161_pso,50,95.02082706734132,7.189066770187568,1.4109332298124315,7.165262544225806,1.4347374557741934,T_minus_10pct,original_T_minus_10pct,T −10%,-0.02380422596176235,-0.023804225961761905,0.0,0.0,0.02380422596176235,0.023804225961761905,True,True,0.02380422596176235,0.023804225961761905,True,91.74281113919692,117.41614755261728
gen=43_member=5437_pso,50,110.03669614928388,6.098496746254142,2.5015032537458577,6.112261470300126,2.487738529699874,T_minus_10pct,original_T_minus_10pct,T −10%,0.013764724045984167,0.013764724045983723,0.013764724045984167,0.013764724045983723,0.0,0.0,False,False,0.013764724045984167,0.013764724045983723,True,91.74281113919692,117.41614755261728
gen=44_member=5578_pso,50,97.54597327332192,7.092080442036739,1.5079195579632605,7.092265252951349,1.50773474704865,T_minus_10pct,original_T_minus_10pct,T −10%,0.00018481091461008958,0.00018481091461053367,0.00018481091461008958,0.00018481091461053367,0.0,0.0,False,False,0.00018481091461008958,0.00018481091461053367,True,91.74281113919692,117.41614755261728
gen=36_member=4573_pso,50,94.4208531468288,7.229106892890432,1.3708931071095682,7.186553361519878,1.4134466384801219,T_minus_10pct,original_T_minus_10pct,T −10%,-0.04255353137055362,-0.04255353137055362,0.0,0.0,0.04255353137055362,0.04255353137055362,True,True,0.04255353137055362,0.04255353137055362,True,91.74281113919692,117.41614755261728
gen=44_member=5555_pso,50,106.33391522597016,6.561853547525624,2.038146452474376,6.546974548844022,2.0530254511559773,T_minus_10pct,original_T_minus_10pct,T −10%,-0.014878998681601807,-0.014878998681601363,0.0,0.0,0.014878998681601807,0.014878998681601363,True,True,0.014878998681601807,0.014878998681601363,True,91.74281113919692,117.41614755261728
gen=38_member=4840_pso,50,110.65515065434496,5.881053561196593,2.7189464388034064,5.89884905681853,2.70115094318147,T_minus_10pct,original_T_minus_10pct,T −10%,0.01779549562193683,0.017795495621936386,0.01779549562193683,0.017795495621936386,0.0,0.0,False,False,0.01779549562193683,0.017795495621936386,True,91.74281113919692,117.41614755261728
gen=47_member=5966_pso,50,106.8318816343605,6.487404100252599,2.112595899747401,6.487254861270745,2.1127451387292555,T_minus_10pct,original_T_minus_10pct,T −10%,-0.00014923898185426054,-0.00014923898185470463,0.0,0.0,0.00014923898185426054,0.00014923898185470463,False,False,0.00014923898185426054,0.00014923898185470463,True,91.74281113919692,117.41614755261728
gen=47_member=5898_pso,50,108.85591904641385,6.286511571940139,2.3134884280598613,6.287429779486849,2.3125702205131513,T_minus_10pct,original_T_minus_10pct,T −10%,0.0009182075467100148,0.0009182075467100148,0.0009182075467100148,0.0009182075467100148,0.0,0.0,False,False,0.0009182075467100148,0.0009182075467100148,True,91.74281113919692,117.41614755261728
gen=38_member=4768_pso,50,97.90858493273068,7.081301779129591,1.5186982208704085,7.065512110611712,1.5344878893882872,T_minus_10pct,original_T_minus_10pct,T −10%,-0.015789668517879107,-0.015789668517878663,0.0,0.0,0.015789668517879107,0.015789668517878663,True,True,0.015789668517879107,0.015789668517878663,True,91.74281113919692,117.41614755261728
gen=41_member=5241_pso,50,105.80415205228012,6.600480291294063,1.999519708705937,6.601225270547933,1.9987747294520672,T_minus_10pct,original_T_minus_10pct,T −10%,0.0007449792538700706,0.0007449792538698485,0.0007449792538700706,0.0007449792538698485,0.0,0.0,False,False,0.0007449792538700706,0.0007449792538698485,True,91.74281113919692,117.41614755261728
gen=39_member=4901_pso,50,94.20507927130308,7.232153778063266,1.367846221936733,7.1896940028327565,1.4103059971672434,T_minus_10pct,original_T_minus_10pct,T −10%,-0.042459775230509145,-0.042459775230510255,0.0,0.0,0.042459775230509145,0.042459775230510255,True,True,0.042459775230509145,0.042459775230510255,True,91.74281113919692,117.41614755261728
gen=40_member=5082_pso,50,97.74289426286462,7.064375867969989,1.5356241320300108,7.0824132901794155,1.517586709820584,T_minus_10pct,original_T_minus_10pct,T −10%,0.018037422209426168,0.018037422209426834,0.018037422209426168,0.018037422209426834,0.0,0.0,False,False,0.018037422209426168,0.018037422209426834,True,91.74281113919692,117.41614755261728
gen=49_member=6158_pso,50,110.07893984150184,6.017075626120354,2.5829243738796457,6.103792076443285,2.496207923556715,T_minus_10pct,original_T_minus_10pct,T −10%,0.08671645032293096,0.08671645032293052,0.08671645032293096,0.08671645032293052,0.0,0.0,False,False,0.08671645032293096,0.08671645032293052,True,91.74281113919692,117.41614755261728
gen=49_member=6216_pso,50,110.45432501578412,5.9401778567270185,2.659822143272981,6.029557267990762,2.570442732009238,T_minus_10pct,original_T_minus_10pct,T −10%,0.08937941126374316,0.08937941126374316,0.08937941126374316,0.08937941126374316,0.0,0.0,False,False,0.08937941126374316,0.08937941126374316,True,91.74281113919692,117.41614755261728
gen=47_member=6002_pso,50,95.10238539262453,7.185888275117557,1.4141117248824433,7.167005635425188,1.4329943645748116,T_minus_10pct,original_T_minus_10pct,T −10%,-0.01888263969236892,-0.018882639692368253,0.0,0.0,0.01888263969236892,0.018882639692368253,True,True,0.01888263969236892,0.018882639692368253,True,91.74281113919692,117.41614755261728
gen=32_member=3978_pso,50,108.89158967774968,6.296541628179861,2.3034583718201382,6.280716883195395,2.319283116804605,T_minus_10pct,original_T_minus_10pct,T −10%,-0.0158247449844664,-0.015824744984466843,0.0,0.0,0.0158247449844664,0.015824744984466843,True,True,0.0158247449844664,0.015824744984466843,True,91.74281113919692,117.41614755261728
gen=24_member=2976_pso,50,109.8459283969095,6.083619595380814,2.5163804046191856,6.175301702489574,2.4246982975104245,T_minus_10pct,original_T_minus_10pct,T −10%,0.09168210710876057,0.09168210710876101,0.09168210710876057,0.09168210710876101,0.0,0.0,False,False,0.09168210710876057,0.09168210710876101,True,91.74281113919692,117.41614755261728
gen=46_member=5863_pso,50,107.6435948669181,6.433502816938018,2.1664971830619817,6.41956047238547,2.1804395276145305,T_minus_10pct,original_T_minus_10pct,T −10%,-0.013942344552548391,-0.013942344552548835,0.0,0.0,0.013942344552548391,0.013942344552548835,True,True,0.013942344552548391,0.013942344552548835,True,91.74281113919692,117.41614755261728
